id_calle,orden_carga,nombre_calle,observacion_calle
144,142,Isla Leones,Jose Fuchs - Ceferino Namuncura
145,143,Isla Viana,Jose Fuchs
146,144,Guaranies,Jose Fuchs - Ceferino Namuncura
147,145,Diaguitas,Jose Fuchs
148,146,Quichuas,Jose Fuchs - Ceferino Namuncura
149,147,Tobas,Jose Fuchs
150,148,Patagones,Jose Fuchs
151,149,Estados Unidos,"Zonas 9 , 10 , 17 , 18 , 29 Y 36"
152,150,"Colon , Cristobal",Jose Fuchs
153,151,Falucho,Jose Fuchs
154,152,Suipacha,Jose Fuchs
155,153,"Avellaneda , Nicolas",Jose Fuchs
156,154,"Figueroa Alcorta , Jose",Jose Fuchs
157,155,Parana,Jose Fuchs
158,156,Isla Lobos,Jose Fuchs
159,157,"Artigas , Jose Gervasio",Jose Fuchs
160,158,Corrientes,Jose Fuchs
161,159,Isla Rasa,Jose Fuchs
162,160,"Liniers , Santiago De",Jose Fuchs
163,161,Cabildo,Jose Fuchs
164,162,Querandies,Jose Fuchs
165,163,Jujuy,Jose Fuchs - 13 de Diciembre
166,164,Charruas,Jose Fuchs - Ceferino Namuncura
167,165,Puelches,Jose Fuchs
168,166,Araucanos,Jose Fuchs
169,167,Juan Xxiii,Jose Fuchs - Ceferino Namuncura
170,168,Asturias,Jorge Newbery
171,169,Galicia,Jorge Newbery
172,170,"Newbery , Jorge",Jorge Newbery
173,171,"Eloff , Miguel",Jorge Newbery
174,172,Ushuaia,Jorge Newbery
175,173,Piedras,Jorge Newbery
176,174,"Machado , Ruben",9 de Julio - 13 de Diciembre - Ceferino Namuncura
177,175,"Lynch , Benito",Ceferino Namuncura
178,176,Juvenilia,Ceferino Namuncura
179,177,Los Eucaliptus,Ceferino Namuncura
180,178,Constitucion,Ceferino Namuncura
181,179,"Benavente , Jacinto",Ceferino Namuncura
182,180,10 de Junio,Ceferino Namuncura
183,181,Tilcara,Ceferino Namuncura
184,182,"Unamuno , Miguel De",Ceferino Namuncura
185,183,Los Cipreses,Ceferino Namuncura
186,184,Calafate,Ceferino Namuncura
187,185,"Varela , Florencio",Ceferino Namuncura
188,186,"Moreira , Juan",Ceferino Namuncura
189,187,Socompa,Ceferino Namuncura
190,188,Don Segundo Sombra,Ceferino Namuncura
191,189,Tabare,Ceferino Namuncura
192,190,Martin Fierro,Ceferino Namuncura
193,191,"Andrade , Olegario",Ceferino Namuncura
194,192,10 de Noviembre,Ceferino Namuncura - Dr. Quirno Costa - San Cayetano
195,193,Evita,Ceferino Namuncura
